"Language","Family","Source","remote_past","recent_past","immediate_past","past_wo_remote","past","present","immediate_future","remote_future","future","non_past","non_future","pre_hodiernal"
"Acoma","Keresan","Miller 1965 (lib)","","","","","n","","","","","","",""
"Afrikaans","Indo-European","Dahl 1985: 166","","","","","i","","","","p","","",""
"Ainu","Ainu","Refsing 1986 (requested)","","","","","","","","","","","",""
"Akan","Atlantic-Congo","Dahl 1985: 179","","","","","p","u","","","i","","",""
"Alamblak","Sepik","Bruce 1984: 133","i; two days before or earlier","i; on day before the present","i; the same day but earlier","","","i","","","i","","",""
"Alawa","Mangarrayi-Maran","Dahl 1985: 159","","","","","i","i","","","i","","",""
"Amele","Nuclear Trans New Guinea","Roberts 1987: 227-228","","","","","2","","","","","","",""
"Amharic","Afro-Asiatic","Dahl 1985: 156","","","","","i"," ","","","","i","",""
"Apurinã","Arawakan","Facundes 2000: 517","","","","","","","","","i","","i",""
"Arabic (Egyptian)","Afro-Asiatic","Eisele 1999","","","","","i","","","","","","",""
"Arabic (Tunisian)","Afro-Asiatic","Dahl 1985: 155","","","","","p","","","","","","",""
"Araona","Pano-Tacanan","Pitman 1980","","","","","n","","","","","","",""
"Arapesh (Mountain)","Nuclear Torricelli","Conrad and Wogiga 1991","","","","","n","","","","","","",""
"Armenian (Eastern)","Indo-European","No source","","","","","i","i","","","i","","",""
"Asmat","Nuclear Trans New Guinea","Voorhoeve 1965: 98"," "," ","i","","","i","","","i","","","i"
"Avokaya","Central Sudanic","No source","","","","","i","","","","","","",""
"Awa Pit","Barbacoan","Curnow 1997: 176","","","","","i","","","","","","",""
"Azerbaijani","Turkic","Dahl 1985: 159-160","","","","","i","i","","","i","","",""
"Bagirmi","Central Sudanic","Stevenson 1969","","","","","","","","","","","",""
"Baining",NA,"Bybee et al. 1994","","","","","i","i","","","i","","",""
"Bandjalang","Pama-Nyungan","Dahl 1985: 159","","","","","i","i","","","i","","",""
"Barasano","Tucanoan","Jones and Jones 1991: 84-86","i; more than a year","i; less than a few days","i; same day","","","","","","i","","",""
"Beja","Afro-Asiatic","Dahl 1985: 154-155","","","","","i","i","","","p","","",""
"Bengali","Indo-European","Dahl 1985: 167","","","","","i","i","","","i","","",""
"Berber (Middle Atlas)","Afro-Asiatic","Penchoen 1973b","","","","","","","","","","","",""
"Brahui","Dravidian","Andronov 1980","","","","","i","","","","","i","",""
"Bulgarian","Indo-European","Dahl 1985: 172","","","","","i","i","","","p","","",""
"Burushaski","Burushaski","Berger 1998: 142, 160-161","","","","","i","","","","","","",""
"Canela-Krahô","Nuclear-Macro-Je","Popjes and Popjes 1986","","","","","2","","","","i","","",""
"Cebuano","Austronesian","Dahl 1985: 160","","","","","","","","","","","",""
"Chamorro","Austronesian","Topping 1973","","","","","","","","","p","","p",""
"Chukchi","Chukotko-Kamchatkan","Speena 1991","","","","","i","i","","","i","","",""
"Cree (Plains)","Algic","Wolfart 1996","","","","","n","","","","","","",""
"Daga","Dagan","Murane 1974: 53","","","","","i","","","","","","",""
"Dani (Lower Grand Valley)","Nuclear Trans New Guinea","Bromley 1981: 61-65","","","","","2","","","","","","",""
"Didinga","Surmic","No source","","","","","i","i","","","i","","",""
"Diola-Fogny","Atlantic-Congo","Sapir 1965: 30-35","i; emphasizes the historicness of the act","","u; indicates a recent past or a present","","i","","","","i","","",""
"English","Indo-European","Dahl 1985: 166","","","","","i","i","","","p","","",""
"Evenki","Tungusic","Nedjalkov 1997: 235","","i; recent past","","","i","i","i; immediate future","","i","","",""
"Fijian","Austronesian","Dixon 1988: 73","","","","","i","","","","","","",""
"Finnish","Uralic","Dahl 1985: 181","","","","","i"," ","","","","i","",""
"French","Indo-European","Dahl 1985: 170","","","","","i","i","","","i","","",""
"Garífuna","Arawakan","Bybee et al. 1994","","","","","","","","","","","",""
"Georgian","Kartvelian","Dahl 1985: 164","","","","","i","i","","","i","","",""
"German","Indo-European","Dahl 1985: 166","","","","","i","i","","","p","","",""
"Gooniyandi","Bunaban","McGregor 1990: 20","","","","","i","i","","","i","","",""
"Grebo","Atlantic-Congo","Innes 1966: 54-87"," "," ","i","","","","i;tomorrow","i; after tomorrow","","","","i"
"Greek (Modern)","Indo-European","Dahl 1985: 169","","","","","i","i","","","p","","",""
"Greenlandic (West)","Eskimo-Aleut","Dahl 1985: 165","","","","","","","","","i","","",""
"Guaraní","Tuplan","Dahl 1985: 159","","","","","i","","","","i","","",""
"Hausa","Afro-Asiatic","Newman 2000","","","","","","","","","","","",""
"Hawaiian Creole",NA,"Velupillai 2003","","","","","i","i","","","i","","",""
"Hebrew (Modern)","Afro-Asiatic","Dahl 1985: 114","","","","","i","i","","","i","","",""
"Hindi","Indo-European","Dahl 1985: 168-169","","","","","i","i","","","i","","",""
"Hixkaryana","Cariban","Derbyshire 1979: 138-139","i;distant past ","i;recent past previous day or a few months ago (this is the norm but it is relative to the total situation, and sometimes an event of only a few weeks ago will be expressed with the distant past suffix)","i;immediate past same day or previous night","","","","","","","i","",""
"Hmong Njua","Hmong-Mien","Harriehausen 1990","","","","","n","","","","","","",""
"Hungarian","Uralic","Dahl 1985: 181","","","","","i","i","","","i","","",""
"Icelandic","Indo-European","Svenonius","","","","","i","i","","","p","","",""
"Imonda","Border","Seiler 1985","","","","","i","i","","","","i","",""
"Indonesian","Austronesian","Dahl 1985: 160","","","","","","","","","p","","",""
"Inuktitut (Salluit)","Eskimo-Aleut","No source","","","","","i","u","","","","","",""
"Isekiri","Atlantic-Congo","Dahl 1985: 178","","","","","","","","","p","","",""
"Jakaltek","Mayan","Craig 1977","","","","","","","","","","","",""
"Japanese","Japonic","Dahl 1985: 158","","","","","i"," ","","","","i","",""
"Javanese","Austronesian","Dahl 1985: 161","","","","","","","","","p","","",""
"Ju|&amp;#39;hoan","Kxa","Dickens n.d.","","","","","n","","","","","","",""
"Kannada","Dravidian","Sridhar 1990: 219","","","","","i","i","","","i","","",""
"Karok","Karok","Bybee et al. 1994","","","","","n","","","","","","",""
"Kayardild","Tangkic","Evans 1995","","","","","","","","","i","","i",""
"Ket","Yeniseian","Krejnovich 1968a","","","","","n","","","","","","",""
"Kewa","Nuclear Trans New Guinea","Franklin 1971","i; remote past a long time ago","","","","i","i","","","i","","",""
"Khalkha","Mongolic-Khitan","Svantesson 1991","","","","","i","","","","","","",""
"Khmer","Austroasiatic","Jacob 1968","","","","","","","","","","","",""
"Khmu&amp;#39;","Austroasiatic","Dahl 1985: 174","","","","","","","","","p","","",""
"Khoekhoe","Khoe-Kwadi","Hagman 1977: 64","i;remote past",""," ","i",""," u","","","i","","",""
"Kikuyu","Atlantic-Congo","Dahl 1985: 175","i; remote past","i","i; hesternal","","","i","i; Hodiernal","i","","","",""
"Kiowa","Kiowa-Tanoan","Watkins 1984","","","","","n","","","","","","",""
"Koasati","Muskogean","Kimball 1991: 203","i; many years ago","i; several hours to several years ago","i; very recent past","","","","","","i","","",""
"Korean","Koreanic","Lee 1991: 225","","","","","i","","","","","","",""
"Koyraboro Senni","Songhay","Heath 1999a","","","","","","","","","","","",""
"Kriol (Fitzroy Crossing)","Indo-European","Dahl 1985: 166","","","","","p","","","","p","","",""
"Kurmanji","Indo-European","Dahl 1985: 168","","","","","i","i","","","i","","",""
"Kutenai","Kutenai","Canestrelli and Boas 1927","","","","","n","","","","","","",""
"Lahu","Sino-Tibetan","Bybee et al. 1994","","","","","","","","","","","",""
"Lai","Atlantic-Congo","Bybee et al. 1994","","","","","","u","","","p","","",""
"Lakhota","Siouan","Buechel 1939","","","","","n","","","","","","",""
"Lango","Atlantic-Congo","Noonan 1992","","","","","","","","","","","",""
"Latvian","Indo-European","No source","","","","","i","i","","","i","","",""
"Lavukaleve","Lavukaleve","Terrill 1999","","","","","","","","","","","",""
"Lezgian","Nakh-Daghestanian","Haspelmath 1993: 146","","","","","i","","","","","","",""
"Luganda","Atlantic-Congo","No source","","","","","2","","","","","","",""
"Luvale","Atlantic-Congo","Horton 1949","","","","","2","","","","","","",""
"Makah","Wakashan","No source","","","","","i","","","","i","","u",""
"Malagasy","Austronesian","Dez 1980b","","","","","n","","","","","","",""
"Maltese","Afro-Asiatic","Dahl 1985: 156","","","","","p","","","","p","","",""
"Mandarin","Sino-Tibetan","Dahl 1985: 180","","","","","","","","","p","","",""
"Mangarrayi","Mangarrayi-Maran","Merlan 1982: 61","","","","","i"," ","","","","i","",""
"Maori","Austronesian","Dahl 1985: 163","","","","","p","","","","","","",""
"Mapudungun","Araucanian","Smeets 1989","","","","","","","","","","","",""
"Maricopa","Cochimi-Yuman","Gordon 1986","","","","","n","","","","","","",""
"Martuthunira","Pama-Nyungan","Dench 1995: 144","","","","","i","","","","","","",""
"Maybrat","Maybrat","Dol 1999","","","","","","","","","","","",""
"Meithei","Sino-Tibetan","Chelliah 1997","","","","","n","","","","","","",""
"Mixtec (Chalcatongo)","Otomanguean","Macaulay 1996","","","","","i","i","","","i","","",""
"Montagnais","Algic","No source","","","","","i","u","","","i","","",""
"Motu","Austronesian","Bybee et al. 1994","","","","","","","","","","","",""
"Nenets","Uralic","Salminen 1993-99","","","","","i","","","","","","",""
"Ngambay","Central Sudanic","Bybee et al. 1994","","","","","","","","","","","",""
"Ngiyambaa","Pama-Nyungan","Donaldson 1980: 160","","","","","i","i","","","i","","",""
"Nicobarese (Car)","Austroasiatic","Bybee et al. 1994","","","","","","","","","","","",""
"Nivkh","Nivkh","Panfilov 1962","","","","","","","","","i","","i",""
"Oneida","Iroquoian","Dahl 1985: 173","","","","","","","","","i","","",""
"Oromo (Harar)","Afro-Asiatic","Owens 1985: 73","","","","","i","","","","","","",""
"Paiwan","Austronesian","Chang 2006","","","","","","","","","","","",""
"Panjabi","Indo-European","Dahl 1985: 168","","","","","i","i","","","i","","",""
"Persian","Indo-European","Dahl 1985: 168","","","","","i","i","","","p","","",""
"Pirahã","Mura","Everett 1986","","","","","n","","","","","","",""
"Portuguese","Indo-European","Dahl 1985: 171-172","","","","","i","i","","","i","","",""
"Quechua (Cochabamba)","Quechuan","Dahl 1985: 158","","","","","i","","","","i","","",""
"Quechua (Imbabura)","Quechuan","Cole 1982: 144","","","","","i","i","","","i","","",""
"Rama","Chibchan","Grinevald n.d.","","","","","i","","","","","","",""
"Rapanui","Austronesian","Du Feu 1996: 156","","","","","i","","","","i","i","",""
"Rendille","Afro-Asiatic","No source","","","","","n","","","","","","",""
"Romanian","Indo-European","Dahl 1985: 171-172","","","","","i","i","","","p","","",""
"Russian","Indo-European","Dahl 1985: 172","","","","","i","i","","","p","","",""
"Sango","Atlantic-Congo","Thornell 1997","","","","","","","","","","","",""
"Sanuma","Yanomamic","Borgman 1990: 167","","","","","2","","","","","","",""
"Semelai","Austroasiatic","Kruspe 2004","","","","","","","","","","","",""
"Seneca","Iroquoian","Dahl 1985: 173","","","","","","","","","i","","i",""
"Sesotho","Atlantic-Congo","Dahl 1985: 173",""," ","i; Hodiernal","","","i","","","p","","","i"
"Somali","Afro-Asiatic","No source","","","","","i","i","","","i","","",""
"Spanish","Indo-European","Dahl 1985: 171","","","p; Immediate past","","i","i","","","i","","",""
"Suena","Nuclear Trans New Guinea","Wilson 1974: 39-40","","","","","2","","","","","","",""
"Sundanese","Austronesian","Dahl 1985: 139","","","","","p","","","","","","",""
"Supyire","Atlantic-Congo","Carlson 1994: 329-334"," ","","i; if it happened today","","","u","i","i","","","","i"
"Swahili","Atlantic-Congo","Lindfors 2003","","","","","i","i","","","i","","",""
"Swedish","Indo-European","Dahl 1985: 166","","","","","i","i","","","i","","",""
"Tagalog","Austronesian","Schachter and Otanes 1972","","","","","","","","","","","",""
"Tamil","Dravidian","Dahl 1985: 165-166","","","","","i","i","","","i","","",""
"Tenyer","Atlantic-Congo","Dahl 1985: 177","","","","","p","p","","","p","","",""
"Thai","Tai-Kadai","Dahl 1985: 174","","","","","","","","","p","","",""
"Tigrinya","Afro-Asiatic","Dahl 1985: 156","","","","","i","i","","","i","","",""
"Tiwi","Tiwi","Osborne 1974: 40","","","","","i","","","","","","",""
"Tukang Besi","Austronesian","Donohue 1999a","","","","","","","","","","","",""
"Turkish","Turkic","Dahl 1985: 157","","","","","i","","","","i","","",""
"Vietnamese","Austroasiatic","Nguyen 1997","","","","","","","","","","","",""
"Warao","Warao","Romero-Figueroa 1997: 95","","","","","i","","","","","i","",""
"Wari&amp;#39;","Chapacuran","Everett and Kern 1997","","","","","","","","","i","","u",""
"Wichí","Matacoan","No source","i; long time ago remote past","i; yesterday","i; earlier today","","","u","","","i","","",""
"Wichita","Caddoan","Rood 1976","","","","","i","u","","","i","","",""
"Wolaytta","Ta-Ne-Omotic","Lamberti and Sottile 1997","","","","","i","i","","","i","","",""
"Wolof","Atlantic-Congo","Dahl 1985: 180","","","","","i","","","","p","","",""
"Yagua","Peba-Yagua","Payne and Payne 1990: 386-87","","","","","4","","","","","","",""
"Yaqui","Uto-Aztecan","Dedrick and Casad 1999: 318","","","","","i","","","","","","",""
"Yoruba","Atlantic-Congo","Dahl 1985: 179","","","","","","","","","p","","",""
"Yucatec","Mayan","No source","","","","","","","","","","","",""
"Yukaghir (Kolyma)","Yukaghir","Maslova 1999","","","","","","","","","i","","u",""
"Zoque (Copainalá)","Mixe-Zoque","Harrison et al. 1981: 92","","","","","i","","","","","","",""
"Zulu","Atlantic-Congo","Dahl 1985: 175","i","","","i","","i","i; Hodiernal","i; post-hodiernal","","","",""
